;title;rating;ratingLevel;release year;user rating score;user rating size
228;Dexter;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2013;95.0;80
229;Leverage;TV-PG;Parental guidance suggested. May not be suitable for all children.;2012;86.0;80
230;Burn Notice;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2013;85.0;80
231;Luther;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;69.0;80
232;Hawaii Five-0;TV-14;dialogue, language, sexual situations and violence;2016;96.0;80
233;Last Man Standing;TV-PG;Parental guidance suggested. May not be suitable for all children.;2015;97.0;80
234;Person of Interest;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;93.0;80
235;Touch;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2012;68.0;80
236;Breakout Kings;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2012;88.0;80
237;The Following;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;86.0;82
238;Drugs, Inc.;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;86.0;82
239;Longmire;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;92.0;80
240;Ripper Street;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
241;The Fall;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;61.0;80
242;Death in Paradise;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;77.0;80
243;Marvel's Agents of S.H.I.E.L.D.;TV-PG;Parental guidance suggested. May not be suitable for all children.;2016;89.0;80
244;Crossing Lines;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;66.0;80
245;The Honorable Woman;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2014;89.0;82
246;Transporter: The Series;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2014;89.0;82
247;Gotham;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;85.0;80
248;American Odyssey;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;86.0;82
249;Aquarius;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;89.0;82
250;Hap and Leonard;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;57.0;80
251;Rosewood;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;81.0;80
252;Limitless;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;84.0;80
253;Travelers;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;86.0;80
254;The Doctor Blake Mysteries;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;57.0;80
255;I.T;NR;This movie has not been rated.;2016;77.0;82
256;Bordertown;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
257;The West Wing;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2005;79.0;80
258;Blue Bloods;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;95.0;80
259;Forensic Files;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2011;88.0;80
260;Rectify;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;82
261;American Crime;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;82
262;Madam Secretary;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;70.0;80
263;American Crime Story: The People v. O.J. Simpson;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;79.0;80
264;The Nightmare Before Christmas;PG;some scary images;1993;84.0;80
265;Scooby-Doo;PG;some rude humor, language and some scary action;2002;86.0;80
266;Chicken Little;G;General Audiences. Suitable for all ages.;2005;92.0;80
267;Teenage Mutant Ninja Turtles;PG;animated action violence, some scary cartoon images and mild language;2007;86.0;82
268;Star Wars: The Clone Wars;PG;sci-fi action violence throughout, brief language and momentary smoking;2008;57.0;80
269;The Smurfs and the Magic Flute;G;General Audiences. Suitable for all ages.;1976;70.0;82
270;We're Back! A Dinosaur's Story;G;General Audiences. Suitable for all ages.;1993;70.0;82
271;Thomas & Friends: Thomas & the Runaway Kite;TV-Y;Suitable for all ages.;2010;75.5;82
272;Dino Squad;TV-Y7;Suitable for children ages 7 and older;2008;74.5;82
273;Cars Toons: Mater's Tall Tales;TV-G;Suitable for all ages.;2010;74.0;80
274;LeapFrog: The Amazing Alphabet Amusement Park;TV-Y;Suitable for all ages.;2010;75.5;82
275;Star Wars: The Clone Wars;TV-PG;Parental guidance suggested. May not be suitable for all children.;2014;93.0;80
276;Phineas and Ferb;TV-G;Suitable for all ages.;2012;89.0;80
277;The Batman;TV-Y7;Suitable for children ages 7 and older;2007;77.0;80
278;Justice League;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2003;66.0;80
279;Justice League Unlimited;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2005;72.0;82
280;Mighty Morphin Power Rangers;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2010;73.0;80
281;Young Justice;TV-PG;Parental guidance suggested. May not be suitable for all children.;2012;71.0;80
282;The Super Mario Bros. Super Show!;TV-Y7;Suitable for children ages 7 and older;1989;74.5;82
283;Power Rangers Zeo;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;1996;72.0;82
284;Oscar's Oasis;TV-G;Suitable for all ages.;2011;74.0;82
285;Transformers Prime;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2013;72.0;82
286;The Adventures of Chuck & Friends;TV-Y;Suitable for all ages.;2011;75.5;82
287;Transformers: Rescue Bots;TV-Y7;Suitable for children ages 7 and older;2016;74.5;82
288;Thomas & Friends: King of the Railway;TV-G;Suitable for all ages.;2013;74.0;82
289;LEGO: Marvel Super Heroes: Maximum Overload;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2013;72.0;82
290;Max Steel;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2014;72.0;82
291;Transformers Prime Beast Hunters: Predacons Rising;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2013;72.0;82
292;Agent F.O.X.;PG;Parental guidance suggested. May not be suitable for children.;2014;86.0;82
293;VeggieTales in the House;TV-Y;Suitable for all ages.;2016;75.5;82
294;Thunder and the House Of Magic;TV-G;Suitable for all ages.;2013;74.0;82
295;All Hail King Julien;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2016;71.0;80
296;Kong: King of the Apes;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2016;72.0;82
297;Marvel Super Hero Adventures: Frost Fight!;PG;fantasy action;2015;86.0;82
298;Slugterra: Slug Fu Showdown;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2015;72.0;82
299;Dinotrux;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2017;72.0;82
300;Edgar Rice Burroughs' Tarzan and Jane;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2017;72.0;82
301;Lego DC Comics: Batman Be-Leaguered;TV-Y7;Suitable for children ages 7 and older;2014;74.5;82
302;Power Rangers Dino Charge;TV-Y7;Suitable for children ages 7 and older;2015;74.5;82
303;Bunks;TV-PG;Parental guidance suggested. May not be suitable for all children.;2013;88.0;82
304;The Jungle Book;PG;for some sequences of scary action and peril;2016;97.0;80
305;The Angry Birds Movie;PG;for rude humor and action;2016;92.0;80
306;The Secret Life of Pets;PG;for action and some rude humor;2016;86.0;81
307;The Furchester Hotel;TV-Y;Suitable for all ages.;2015;75.5;82
308;Marvel's Hulk: Where Monsters Dwell;PG;action violence throughout, some scary images, and language;2016;86.0;82
309;Angry Birds;TV-G;Suitable for all ages.;2013;74.0;82
310;Talking Tom and Friends;TV-G;Suitable for all ages.;2016;61.0;80
311;Nexo Knights;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2015;72.0;82
312;An Extremely Goofy Movie;G;General Audiences. Suitable for all ages.;1999;67.0;80
313;The Iron Giant;PG;fantasy action and mild language;1999;83.0;80
314;The Cat in the Hat Knows a Lot About That!;TV-Y;Suitable for all ages.;2014;75.5;82
315;Bob the Builder;TV-Y;Suitable for all ages.;2015;75.5;82
316;Beyblade: Metal Fusion;TV-Y7;Suitable for children ages 7 and older;2009;74.5;82
317;Ninja Turtles: The Next Mutation;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;1997;72.0;82
318;DreamWorks Kung Fu Panda Awesome Secrets;TV-PG;Parental guidance suggested. May not be suitable for all children.;2008;88.0;82
319;LEGO Ninjago: Masters of Spinjitzu;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2015;67.0;80
320;Goosebumps;TV-Y7;Suitable for children ages 7 and older;1998;88.0;80
321;LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2011;72.0;82
322;Super Buddies;G;General Audiences. Suitable for all ages.;2013;70.0;82
323;Tad: The Lost Explorer;TV-PG;Parental guidance suggested. May not be suitable for all children.;2012;88.0;82
324;PokÌ©mon: Indigo League;TV-Y;Suitable for all ages.;2000;74.0;80
325;Ratchet and Clank;PG;action and some rude humor;2016;74.0;80
326;Pac-Man and the Ghostly Adventures;TV-Y7;Suitable for children ages 7 and older;2014;74.5;82
327;Iron Man & Captain America: Heroes United;PG;action and violence throughout, and mild language;2014;86.0;82
328;Power Rangers Super Megaforce;TV-Y7;Suitable for children ages 7 and older;2014;74.5;82
329;Chuggington;TV-Y;Suitable for all ages.;2015;75.5;82
330;The Adventures of Puss in Boots;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2016;78.0;80
331;Some Assembly Required;TV-G;Suitable for all ages.;2015;74.0;82
332;Kulipari: An Army of Frogs;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2016;72.0;82
333;Transformers: Robots in Disguise;TV-Y7;Suitable for children ages 7 and older;2016;74.5;82
334;Robocar Poli;TV-Y;Suitable for all ages.;2012;75.5;82
335;LEGO Bionicle: The Journey to One;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2016;72.0;82
336;Voltron: Legendary Defender;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2017;72.0;82
337;Buddy Thunderstruck;TV-PG;Parental guidance suggested. May not be suitable for all children.;2017;88.0;82
338;PokÌ©mon: XY;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2015;56.0;80
339;Power Rangers Dino Super Charge;TV-Y7;Suitable for children ages 7 and older;2016;74.5;82
340;The Deep;TV-Y7;Suitable for children ages 7 and older;2015;74.5;82
341;Skylanders Academy;TV-Y7;Suitable for children ages 7 and older;2016;74.5;82
342;Growing Up Wild;G;General Audiences. Suitable for all ages.;2016;80.0;80
343;The Little Rascals;PG;some rude dialogue;1994;86.0;80
344;Flubber;PG;slapstick action and mild language;1997;83.0;80
345;Tarzan;G;General Audiences. Suitable for all ages.;1999;95.0;80
346;The Emperor's New Groove;G;General Audiences. Suitable for all ages.;2000;95.0;80
347;Lilo & Stitch;PG;mild sci-fi action;2002;95.0;80
348;Scooby-Doo 2: Monsters Unleashed;PG;some scary action, rude humor and language;2004;82.0;80
349;The Three Musketeers;G;General Audiences. Suitable for all ages.;2004;70.0;82
350;Mickey's Twice Upon a Christmas;G;General Audiences. Suitable for all ages.;2004;70.0;82
351;The Pacifier;PG;action violence, language and rude humor;2005;91.0;80
352;Bee Movie;PG;mild suggestive humor;2007;94.0;80
353;Kung Fu Panda;PG;sequences of martial arts action;2008;91.0;80
354;Super Why!;TV-Y;Suitable for all ages.;2015;68.0;80
355;Jessie;TV-G;Suitable for all ages.;2015;88.0;80
356;Disney Animation Collection: Vol. 1: Mickey and the Beanstalk;TV-G;Suitable for all ages.;2009;74.0;82
357;Lab Rats;TV-Y7;Suitable for children ages 7 and older;2016;85.0;80
358;Pocoyo;TV-Y;Suitable for all ages.;2007;67.0;80
359;Octonauts;TV-Y;Suitable for all ages.;2015;75.5;82
360;Dragons: Race to the Edge;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2017;88.0;80
361;Mother Goose Club;TV-Y;Suitable for all ages.;2016;75.5;82
362;Little Einsteins;TV-Y;Suitable for all ages.;2007;70.0;80
363;Hotel Transylvania 2;PG;some scary images, action and rude humor;2015;93.0;80
364;Dawn of the Croods;TV-Y7;Suitable for children ages 7 and older;2017;72.0;80
365;Goosebumps;PG;scary and intense creature action and images, and for some rude humor;2015;90.0;80
366;Kung Fu Panda 3;PG;martial arts action and some mild rude humor;2016;92.0;80
367;Home: Adventures with Tip & Oh;TV-Y7;Suitable for children ages 7 and older;2017;74.5;82
368;Open Season: Scared Silly;PG;rude humor and some action;2015;72.0;80
369;The Land Before Time XIV: Journey of the Brave;G;General Audiences. Suitable for all ages.;2016;70.0;82
370;Alice Through the Looking Glass;PG;fantasy action/peril and some language;2016;96.0;80
371;Ask the StoryBots;TV-Y;Suitable for all ages.;2016;75.5;82
372;Goldie & Bear;TV-Y;Suitable for all ages.;2016;77.0;80
373;Little Baby Bum: Nursery Rhyme Friends;TV-Y;Suitable for all ages.;2016;75.5;82
374;Tayo the Little Bus;TV-Y;Suitable for all ages.;2014;75.5;82
375;Antz;PG;moderate adult language and intense action;1998;80.0;80
376;Chicken Run;G;General Audiences. Suitable for all ages.;2000;80.0;80
377;Spy Kids 3: Game Over;PG;action sequences and peril;2003;64.0;80
378;Annie;PG;adult content and mld violence;1982;68.0;80
379;Mulan 2;G;General Audiences. Suitable for all ages.;2004;85.0;80
380;Lilo & Stitch 2: Stitch Has A Glitch;PG;some mild action;2005;85.0;80
381;DreamWorks Shrek's Swamp Stories;TV-PG;Parental guidance suggested. May not be suitable for all children.;2008;56.0;80
382;Beverly Hills Chihuahua 3: Viva La Fiesta!;G;General Audiences. Suitable for all ages.;2012;70.0;82
383;DreamWorks Spooky Stories: Volume 2;TV-PG;Parental guidance suggested. May not be suitable for all children.;2011;88.0;82
384;The Magic School Bus;TV-Y;Suitable for all ages.;1997;81.0;80
385;Sammy 2;TV-PG;Parental guidance suggested. May not be suitable for all children.;2012;88.0;82
386;Sofia the First;TV-Y;Suitable for all ages.;2015;82.0;80
387;Barbie Life in the Dreamhouse;TV-G;Suitable for all ages.;2012;85.0;80
388;Paddington;PG;mild action and rude humor;2014;70.0;80
389;Larva;TV-G;Suitable for all ages.;2015;74.0;82
390;Sid the Science Kid;TV-Y;Suitable for all ages.;2008;75.5;82
391;Minions;PG;action and rude humor;2015;96.0;80
392;The Little Prince;PG;mild thematic elements;2015;71.0;80
393;Word Party;TV-Y;Suitable for all ages.;2016;75.5;82
394;Cool Runnings;PG;Parental guidance suggested. May not be suitable for children.;1993;81.0;80
395;Homeward Bound: The Incredible Journey;G;General Audiences. Suitable for all ages.;1993;96.0;80
396;Anastasia;G;General Audiences. Suitable for all ages.;1997;93.0;80
397;Missione Hamburger;PG;language, some comic violence and mild sex-related humor;1997;75.0;80
398;Curious George;G;General Audiences. Suitable for all ages.;2006;55.0;80
399;Secret of the Wings;G;General Audiences. Suitable for all ages.;2012;65.0;80
400;Clifford the Big Red Dog;TV-Y;Suitable for all ages.;2002;75.5;82
401;Walt Disney Animation Studios Short Films Collection;TV-G;Suitable for all ages.;2015;84.0;80
402;Bunk'd;TV-G;Suitable for all ages.;2016;61.0;80
403;The BFG;PG;for action/peril, some scary moments and brief rude humor;2016;97.0;80
404;The Real Ghostbusters;TV-Y7;Suitable for children ages 7 and older;1990;65.0;80
405;Babe: Pig in the City;G;General Audiences. Suitable for all ages.;1998;70.0;82
406;The Prince of Egypt;PG;intense scenes dealing with strong content;1998;81.0;80
407;Paulie;PG;Parental guidance suggested. May not be suitable for children.;1998;86.0;82
408;The Road to El Dorado;PG;mild thematic material and language;2000;91.0;80
409;Fantasia 2000;G;General Audiences. Suitable for all ages.;2000;70.0;82
410;Pocahontas II: Journey to a New World;TV-G;Suitable for all ages.;1998;64.0;80
411;Fantasia;G;General Audiences. Suitable for all ages.;1940;61.0;80
412;An American Tail;G;General Audiences. Suitable for all ages.;1986;67.0;80
413;Pooh's Grand Adventure: The Search for Christopher Robin;G;General Audiences. Suitable for all ages.;1997;70.0;82
414;FernGully 2: The Magical Rescue;G;General Audiences. Suitable for all ages.;1998;70.0;82
415;Balto 2: Wolf Quest;G;General Audiences. Suitable for all ages.;2001;70.0;82
416;Balto;G;General Audiences. Suitable for all ages.;1995;64.0;80
417;Back to the Secret Garden;G;General Audiences. Suitable for all ages.;2002;70.0;82
418;The Brave Little Toaster Goes to Mars;G;General Audiences. Suitable for all ages.;1998;70.0;82
419;The Brave Little Toaster to the Rescue;G;General Audiences. Suitable for all ages.;1997;70.0;82
420;An American Tail: The Mystery of the Night Monster;G;General Audiences. Suitable for all ages.;1999;70.0;82
421;An American Tail: Fievel Goes West;G;General Audiences. Suitable for all ages.;1991;70.0;82
422;The Last Unicorn;G;General Audiences. Suitable for all ages.;1982;70.0;82
423;Brother Bear 2;G;General Audiences. Suitable for all ages.;2006;57.0;80
424;The Fox and the Hound 2;G;General Audiences. Suitable for all ages.;2006;70.0;82
425;Jetsons: The Movie;G;General Audiences. Suitable for all ages.;1990;70.0;82
426;A Monster in Paris;PG;some action violence involving gunplay, and mild rude humor;2011;86.0;82
427;The Gruffalo;TV-Y;Suitable for all ages.;2009;75.5;82
428;DreamWorks How to Train Your Dragon Legends;TV-PG;Parental guidance suggested. May not be suitable for all children.;2011;88.0;82
429;Ernest & Celestine;PG;some scary moments;2012;86.0;82
430;Animaniacs;TV-Y7;Suitable for children ages 7 and older;1997;72.0;80
431;Disney Animation Collection: Vol. 4: The Tortoise and the Hare;TV-G;Suitable for all ages.;2009;74.0;82
432;PopPixie;TV-G;Suitable for all ages.;2011;74.0;82
433;Jack and the Cuckoo-Clock Heart;PG;scary images, suggestive material, some language and smoking;2013;86.0;82
434;The Pirate Fairy;G;General Audiences. Suitable for all ages.;2014;57.0;80
435;Axel: The Biggest Little Hero;PG;some scary images, perilous action sequences and mild rude humor;2013;86.0;82
436;The Adventures of Figaro Pho;TV-Y7;Suitable for children ages 7 and older;2015;74.5;82
437;The Boxcar Children;G;General Audiences. Suitable for all ages.;2014;70.0;82
438;Pet Pals in Windland;TV-G;Suitable for all ages.;2014;74.0;82
439;Alpha and Omega: Dino Digs;TV-G;Suitable for all ages.;2016;74.0;82
440;Quackerz;PG;rude and suggestive humor, and some action;2016;86.0;82
441;Hatched;TV-Y7;Suitable for children ages 7 and older;2013;74.5;82
442;Blinky Bill: The Movie;PG;some rude humor;2015;86.0;82
443;FernGully: The Last Rainforest;G;General Audiences. Suitable for all ages.;1992;70.0;80
444;The Lizzie McGuire Movie;PG;mild thematic elements;2003;86.0;82
445;Recess: Taking the Fifth Grade;G;General Audiences. Suitable for all ages.;2003;70.0;82
446;The Very Hungry Caterpillar and Other Stories;TV-Y;Suitable for all ages.;1993;75.5;82
447;The Hero of Color City;G;General Audiences. Suitable for all ages.;2014;70.0;82
448;The Little Engine That Could;G;General Audiences. Suitable for all ages.;2011;70.0;82
449;Delhi Safari;PG;violence and menacing action, rude humor, suggestive content and thematic elements;2012;86.0;82
450;Pound Puppies;TV-Y;Suitable for all ages.;2013;75.5;82
451;Monster Math Squad;TV-G;Suitable for all ages.;2012;74.0;82
452;Care Bears: Welcome to Care-a-Lot;TV-Y;Suitable for all ages.;2012;75.5;82
453;Clifford's Puppy Days;TV-Y;Suitable for all ages.;2003;75.5;82
454;Dinosaur King;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2008;72.0;82
455;Ribbit;PG;some peril;2014;86.0;82
456;Rooster Doodle-doo;TV-G;Suitable for all ages.;2014;74.0;82
457;My Animal Friends;TV-Y;Suitable for all ages.;2013;75.5;82
458;Worms;PG;Parental guidance suggested. May not be suitable for children.;2013;86.0;82
459;Puffin Rock;TV-Y;Suitable for all ages.;2016;75.5;82
460;The Mr. Peabody and Sherman Show;TV-Y7;Suitable for children ages 7 and older;2017;74.5;82
461;Zoobabu;TV-Y;Suitable for all ages.;2010;75.5;82
462;Gon;TV-G;Suitable for all ages.;2013;74.0;82
463;Sid the Science Kid: The Movie;TV-Y;Suitable for all ages.;2012;75.5;82
464;LEGO Jurassic World: The Indominus Escape;TV-Y7;Suitable for children ages 7 and older;2016;74.5;82
465;Harry and the Hendersons;PG;Parental guidance suggested. May not be suitable for children.;1987;58.0;80
466;Cats & Dogs;PG;animal action and humor;2001;86.0;82
467;Atlantis: The Lost Empire;PG;action violence;2001;96.0;80
468;Tarzan & Jane;G;General Audiences. Suitable for all ages.;2002;70.0;82
469;Atlantis: Milo's Return;G;General Audiences. Suitable for all ages.;2003;79.0;80
470;Batched;G;General Audiences. Suitable for all ages.;2000;70.0;82
471;Winnie the Pooh: Springtime with Roo;G;General Audiences. Suitable for all ages.;2004;70.0;82
472;Pooh's Heffalump Movie;G;General Audiences. Suitable for all ages.;2005;70.0;82
473;Kronk's New Groove;G;General Audiences. Suitable for all ages.;2005;70.0;82
474;Corpse Bride;PG;some scary images and action, and brief mild language;2005;91.0;80
475;Disney Animation Collection: Vol. 2: Three Little Pigs;TV-G;Suitable for all ages.;2009;74.0;82
476;Underdogs;PG;Parental guidance suggested. May not be suitable for children.;2013;86.0;82
477;Yellowbird;PG;Parental guidance suggested. May not be suitable for children.;2014;86.0;82
478;Mr. Magoo;PG;mild language and action sequences;1997;86.0;82
479;Air Bud: World Pup;G;General Audiences. Suitable for all ages.;2000;70.0;82
480;Baby's Day Out;PG;mild language and comic action;1994;71.0;80
481;Blank Check;PG;Parental guidance suggested. May not be suitable for children.;1994;93.0;80
482;Heavyweights;PG;some rude language and pranks;1995;74.0;80
483;Inspector Gadget 2;G;General Audiences. Suitable for all ages.;2003;70.0;82
484;Air Bud: Spikes Back;G;General Audiences. Suitable for all ages.;2003;70.0;82
485;D2: The Mighty Ducks;PG;some mild language and rough hockey action;1994;70.0;80
486;Honey, I Shrunk the Kids;PG;Parental guidance suggested. May not be suitable for children.;1989;80.0;80
487;Air Buddies;PG;some mild, rude humor;2006;86.0;82
488;Dr. Dolittle: Tail to the Chief;PG;brief mild language and some rude behavior;2008;86.0;82
489;Flicka 2;PG;some reckless behavior;2010;86.0;82
490;H2O: Just Add Water;TV-PG;Parental guidance suggested. May not be suitable for all children.;2009;74.0;80
491;Dolphin Tale;PG;some mild thematic elements;2011;86.0;82
492;Step Dogs;TV-PG;Parental guidance suggested. May not be suitable for all children.;2013;88.0;82
493;Mia and Me;TV-Y;Suitable for all ages.;2015;75.5;82
494;Russell Madness;PG;some rude humor and sports action;2015;86.0;82
495;Wiener Dog Internationals;G;General Audiences. Suitable for all ages.;2015;70.0;82
496;Pup Star;G;General Audiences. Suitable for all ages.;2016;70.0;82
497;Precious Puppies;TV-G;Suitable for all ages.;2003;74.0;82
498;Beary Tales;TV-G;Suitable for all ages.;2013;74.0;82
